Year,Month,St Marys Q (cms)
2008,11,1526
2008,12,1601
2009,1,1316
2009,2,1328
2009,3,1405
2009,4,1402
2009,5,1734
2009,6,2032
2009,7,1877
2009,8,1691
2009,9,2155
2009,10,1842
2009,11,1807
2009,12,1788
2010,1,2079
2010,2,1620
2010,3,1470
2010,4,1638
2010,5,1528
2010,6,1582
2010,7,1613
2010,8,1591
2010,9,1562
2010,10,1520
2010,11,1503
2010,12,1509
2011,1,1313
2011,2,1196
2011,3,1286
2011,4,1357
2011,5,1501
2011,6,1609
2011,7,1756
2011,8,1763
2011,9,1602
2011,10,1527
2011,11,1509
2011,12,1156
2012,1,1502
2012,2,1492
2012,3,1361
2012,4,1490
2012,5,1504
2012,6,1603
2012,7,2042
2012,8,2092
2012,9,1753
2012,10,1410
2012,11,1506
2012,12,1473
2013,1,1464
2013,2,1243
2013,3,1485
2013,4,1484
2013,5,1572
2013,6,2158
2013,7,2335
2013,8,2678
2013,9,2675
2013,10,2613
2013,11,2170
2013,12,2190
2014,1,1952
2014,2,1846
2014,3,1748
2014,4,1992
2014,5,2344
2014,6,2685
2014,7,3168
2014,8,3190
2014,9,2900
2014,10,3054
2014,11,3000
2014,12,2560
2015,1,2323
2015,2,2184
2015,3,2046
2015,4,2094
2015,5,2496
2015,6,2760
2015,7,3128
2015,8,3137
2015,9,2816
2015,10,2800
2015,11,2365
2015,12,2463
2016,1,2601
2016,2,2582
2016,3,2575
2016,4,2298
2016,5,2538
2016,6,2609
2016,7,3095
2016,8,3182
2016,9,2649
2016,10,2838
2016,11,2673
2016,12,2539
2017,1,2337
2017,2,2535
2017,3,2532
